Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	4.507569	4.138569	12.579449	0.6521761	344.2143	-0.10021773	0.07508799	0.047884867	-0.4218143	5000	-2.077818e-08	2.3944323	-0.006884327	-1.8567059	0.91893846	0.0052727046	0.0518	79.0	4.574010133743286
1	19.458355	21.948982	72.51717	1.6797439	437.2	1.6184883	0.8606384	4.4551167	-0.21418075	10000	1.6474724e-08	14.121445	-0.0102844965	-9.168755	0.8994101	0.00796076	0.083	79.0	9.21180772781372
2	40.876713	30.421793	86.36094	5.412429	546.7778	4.6436443	1.8901105	11.125974	-2.0210576	15000	-1.8072129e-08	24.122986	-0.011754873	-15.116739	0.9061893	0.0077917986	0.079	79.0	13.801985263824463
3	85.44949	70.606155	220.40128	23.943457	494.8	7.742759	3.2394402	17.222652	-2.2192497	20000	2.348423e-09	161.52142	-0.009468136	-132.51743	0.8942206	0.006053864	0.069	79.0	18.200176000595093
4	180.93486	126.49246	388.26508	43.51726	642.4286	23.58276	11.522954	57.63649	-5.171179	25000	-2.5749207e-09	127.441475	-0.009086269	-94.73531	0.90395874	0.010743962	0.0836	79.0	22.59147357940674
5	306.6974	97.2597	416.75244	144.38316	909.6	22.737104	10.626493	46.665	-3.2542124	30000	4.2939185e-08	168.00877	-0.009658938	-113.04173	0.9081499	0.006332306	0.0864	79.0	26.875898122787476
6	382.77997	95.05591	456.88763	197.34842	964.4	39.765602	17.98037	97.439476	-2.334211	35000	1.1850894e-08	124.72631	-0.009520795	-77.63356	0.88676023	0.0060097277	0.065	79.0	31.17103672027588
7	303.94604	129.41135	482.32767	154.25664	702.5	43.624043	14.238361	68.664406	-7.5222373	40000	4.758965e-09	56.487556	-0.01268665	-23.223953	0.88449824	0.0075440323	0.0852	79.0	35.55984950065613
8	361.69547	138.73434	487.17535	166.59482	814.0	46.834293	12.536065	63.03249	-3.0002167	45000	1.4305115e-10	59.98363	-0.01003184	-38.714466	0.86867046	0.004592343	0.0686	79.0	39.8755464553833
9	357.53125	101.67481	449.26935	191.46153	809.6	45.4638	10.28038	64.43175	-9.743074	50000	-2.7567149e-09	32.25851	-0.00969366	-12.312384	0.8303402	0.0051789987	0.0724	79.0	44.134010791778564
10	416.96826	105.62358	482.4528	206.40863	901.2	47.766308	8.87697	67.73475	-8.326452	55000	-7.890165e-09	23.15744	-0.004369648	-10.5648155	0.8186187	0.016101267	0.1736	6.0	48.29412889480591
11	457.49432	8.24533	472.66068	448.9935	1000.0	49.511345	6.013864	62.902634	28.119757	60000	3.656745e-09	13.724059	0.005530106	-8.47978	0.81805086	0.016852343	0.1946	1.0	52.34000492095947
12	404.61224	23.688437	444.44534	378.45847	1000.0	46.6616	7.1735783	64.85421	25.050524	65000	1.4066697e-09	67.93751	-0.007964468	-48.346382	0.81794727	0.004172642	0.077	79.0	56.6986939907074
13	452.39056	24.661768	480.57343	408.4772	1000.0	43.77721	7.229444	65.36019	25.297373	70000	9.411574e-09	20.730583	-0.012855744	-10.018361	0.8167578	0.0076508103	0.1044	79.0	61.05039572715759
14	392.7185	101.035255	473.74252	226.65619	850.0	46.86201	8.693123	67.54007	5.274348	75000	4.1790305e-09	36.522507	-0.008706086	-29.08405	0.8073748	0.007830353	0.0646	79.0	65.3534083366394
15	497.0424	18.21606	531.4017	480.0227	1000.0	50.169704	6.813704	63.439274	21.896162	80000	-2.5391579e-08	22.714918	-0.010608323	-17.447666	0.8063093	0.006074581	0.0754	79.0	69.66206455230713
16	520.3562	31.416742	573.46564	484.487	1000.0	52.534855	5.3662944	65.162575	30.598665	85000	-7.1018933e-09	20.239899	-0.008794736	-13.358425	0.7752496	0.00736374	0.0658	79.0	73.98450899124146
17	531.9421	22.121498	572.1525	506.3266	1000.0	54.667824	5.9037657	68.53989	30.554014	90000	-9.378791e-09	7.352658	-0.012763846	-1.9652696	0.7625573	0.0059179966	0.1048	79.0	78.3170895576477
18	544.53436	12.317675	563.75183	532.71027	1000.0	55.564075	5.7356343	68.968	32.18802	95000	-1.1301041e-08	5.8122606	-0.011671916	-2.9239838	0.7386802	0.006037217	0.0854	79.0	82.6277425289154
19	572.2977	6.6243873	583.12683	563.1551	1000.0	57.8135	6.1955647	68.366234	30.933987	100000	1.0436773e-08	7.6252766	-0.011244157	-4.1714797	0.72167593	0.0062675923	0.0832	79.0	86.97509980201721
20	532.0299	139.5079	630.3001	255.9437	925.6	61.026524	7.3895392	78.9956	33.362877	105000	1.9401312e-09	189.1747	-0.00899375	-159.10936	0.7180707	0.005514205	0.0678	79.0	91.34684634208679
21	596.2885	87.2781	653.769	422.58768	964.2	61.6389	9.892676	73.77391	1.1713986	110000	-4.810095e-09	43.068897	-0.012480584	-18.535227	0.7035585	0.0049637533	0.0706	79.0	95.80831122398376
22	408.88266	211.4697	697.45416	155.0786	712.4286	54.40861	20.171616	78.269394	-9.938928	115000	-1.2456626e-08	44.533554	-0.012699809	-13.550524	0.67019135	0.009026967	0.0732	79.0	100.144357919693
23	567.5093	84.26453	642.16486	412.5527	955.0	60.86202	14.938185	79.65285	-12.615731	120000	-4.0620565e-09	31.875456	-0.011677015	-8.949995	0.66844314	0.009130727	0.0898	79.0	104.46224904060364
24	613.1083	38.112267	660.01776	567.70483	1000.0	64.7711	7.8603544	77.31381	38.4496	125000	-1.1861324e-08	20.58336	-0.011333915	-5.643178	0.64013046	0.0051873857	0.0672	79.0	108.87248921394348
25	644.0773	17.275274	670.75726	617.72504	1000.0	64.97907	7.8258777	77.67959	35.47589	130000	9.989739e-09	14.72893	-0.012815826	-6.763899	0.6239817	0.009380655	0.0784	79.0	113.1273865699768
26	643.9261	59.97851	723.5946	538.9345	1000.0	66.4291	8.131917	79.7224	37.333317	135000	1.18725e-09	22.903334	-0.014116064	-6.955022	0.62019587	0.009254922	0.076	79.0	117.41472887992859
27	562.3156	170.47572	707.3173	231.27664	903.4	64.34351	12.640619	81.16545	1.2395408	140000	-6.5885484e-09	35.911472	-0.013710351	-13.9232235	0.61688155	0.0064371084	0.0752	79.0	121.77541375160217
28	674.76807	16.089737	703.2013	660.0511	1000.0	69.919914	8.6236725	83.14599	37.35097	145000	6.7688527e-10	12.57697	-0.011317346	-4.292098	0.62636113	0.0064949766	0.077	79.0	126.11106991767883
29	661.3471	53.4352	734.3447	569.55444	1000.0	69.12069	8.662093	82.81784	36.95697	150000	2.837628e-08	21.113579	-0.011327187	-7.2854166	0.6376033	0.00407883	0.0558	79.0	130.51794528961182
30	667.65137	30.550503	700.64386	610.969	1000.0	69.45053	9.510814	82.729996	34.903687	155000	6.058812e-09	17.742584	-0.01387759	-6.475997	0.63720906	0.0067657125	0.101	79.0	134.8386697769165
31	716.7378	26.28363	745.34863	675.725	1000.0	72.53849	9.421388	85.02615	35.490494	160000	1.7011166e-08	15.554471	-0.016296003	-7.5941906	0.6128404	0.010663194	0.1102	79.0	139.11852192878723
32	698.92004	14.286135	716.33466	681.08923	1000.0	73.31086	9.423813	87.92449	39.479256	165000	1.1849403e-08	14.44945	-0.012195277	-4.363353	0.5896297	0.0060627274	0.0724	79.0	143.4385883808136
33	648.04626	108.101074	769.6926	491.05847	1000.0	69.137535	11.842061	88.76058	27.234808	170000	8.869171e-09	42.821575	0.008037383	-33.58105	0.58553743	0.0151798325	0.1558	14.0	147.6106517314911
34	719.7186	35.92563	767.8824	673.14417	1000.0	75.72136	10.684051	90.680305	35.060455	175000	-8.780137e-09	17.629503	-0.013749021	-8.27662	0.58412194	0.005883055	0.0828	79.0	151.97372245788574
35	726.7211	43.293777	794.43677	682.16315	1000.0	75.179565	9.655207	90.22889	39.62159	180000	2.5831164e-09	27.468021	-0.014697135	-12.718373	0.5739734	0.0133700315	0.1006	79.0	156.2844581604004
36	728.57666	35.359234	792.1149	688.33594	1000.0	75.71942	11.402872	92.21638	34.116104	185000	-9.310246e-09	16.33759	-0.013333904	-7.2026234	0.5838454	0.0069342577	0.0908	79.0	160.55695128440857
37	739.9372	22.565474	778.0148	708.3457	1000.0	79.29419	9.887416	93.00964	38.657784	190000	5.6922436e-09	10.813545	-0.01629219	-5.878543	0.5684272	0.007272695	0.108	79.0	164.79982042312622
38	709.8705	52.710243	764.0053	611.20026	1000.0	76.602745	9.547917	92.51754	40.79991	195000	4.5895576e-10	19.71549	-0.013795276	-11.905167	0.54386747	0.008645647	0.0828	79.0	169.10327577590942
39	740.52716	33.28787	782.79443	702.9589	1000.0	76.67488	10.322616	92.68842	38.063396	200000	-1.4537573e-08	14.527141	-0.014115343	-6.630991	0.5414588	0.0050777043	0.078	79.0	173.3606517314911
40	793.9392	10.435167	806.20435	774.75995	1000.0	80.56695	9.927138	93.81303	39.082233	205000	-2.2888185e-09	16.596544	-0.012759329	-12.814528	0.5377946	0.0069035133	0.093	79.0	177.66917061805725
41	770.6082	92.509224	837.1682	586.9535	1000.0	82.52208	10.047669	96.20554	43.296738	210000	-1.5205146e-08	51.954666	-0.012667453	-45.11949	0.51476836	0.0112095615	0.1226	79.0	181.96624112129211
42	724.59576	108.3431	831.5926	561.91547	1000.0	77.542175	12.548257	96.861305	40.376312	215000	1.0225177e-08	21.995586	-0.011007425	-14.329715	0.49030215	0.005973661	0.0698	79.0	186.21447610855103
43	757.0414	70.90898	867.1522	663.4358	1000.0	80.45302	13.104688	98.655464	40.359127	220000	-7.3850153e-09	26.358156	-0.012893604	-16.522062	0.491368	0.008917667	0.0712	79.0	190.57879424095154
44	753.3374	83.218864	845.21265	599.133	1000.0	79.24685	12.428382	98.47472	40.61093	225000	1.2772158e-09	15.22415	-0.017659666	-7.28725	0.48295203	0.012296143	0.1298	79.0	194.91911697387695
45	804.08606	32.581738	865.2451	772.9166	1000.0	83.42224	12.382142	98.1693	40.058044	230000	9.077787e-09	12.671021	-0.01406791	-6.1487613	0.44663465	0.009552629	0.0846	79.0	199.26179933547974
46	870.4069	29.409435	912.5893	838.6797	1000.0	88.97136	11.403389	100.57832	39.866505	235000	-1.9466876e-08	12.548799	-0.011946429	-10.644129	0.43891728	0.006774569	0.0748	79.0	203.6056432723999
47	811.11804	65.44385	882.55524	701.4115	1000.0	88.193825	13.135222	100.78499	41.649155	240000	-1.744032e-08	26.266386	-0.013540759	-21.90775	0.41672066	0.009698858	0.076	79.0	207.99659419059753
48	886.1139	17.261	909.3616	866.6497	1000.0	92.746124	11.764011	101.423904	39.6764	245000	-2.9051304e-08	6.883811	-0.0112186745	-5.449394	0.40483093	0.0064603835	0.0634	79.0	212.3077917098999
49	826.26855	82.57459	920.09863	693.52075	1000.0	90.18955	12.978824	100.45415	42.646214	250000	-1.7464162e-08	30.932753	-0.0120820785	-24.5032	0.38689637	0.011659714	0.091	79.0	216.68179607391357
50	875.8329	24.32496	907.9551	849.6135	1000.0	91.38638	12.824762	100.71706	38.689693	255000	1.1384487e-08	15.710962	-0.017059786	-12.220796	0.35790452	0.0068265535	0.0846	79.0	221.0853614807129
51	896.96405	14.3643675	911.97736	879.42615	1000.0	94.50058	11.293796	100.774574	40.81212	260000	-1.0535121e-08	3.5456696	-0.015853865	-1.9114878	0.3558221	0.008283545	0.0694	79.0	225.49889826774597
